name,n_qubits,bandwidth,entanglement,n_samples,effective_rank,top_eigenvalue,off_diagonal_mean,rbf_correlation,rbf_gamma,geometric_difference,passes_conditioning,passes_distinctness,n_features,gram_seconds,selected_features
zz,4,0.125,linear,300,0.010156345229280602,0.6316517889537457,0.6008818906893246,0.9318563180548393,10.0,77.04073178589445,True,False,4,0.5611278899596073,V258;V257;card1;TransactionAmt
zz,4,0.0625,linear,300,0.005663802969055437,0.8533056320697195,0.845011326984603,0.961062888180092,10.0,13.658912637817954,False,False,4,0.2064899620017968,V258;V257;card1;TransactionAmt
zz,4,0.03125,linear,300,0.004149978769749343,0.9524103805986971,0.9510941406338849,0.9689743660435229,10.0,2.164654847936944,False,False,4,0.1816702409996651,V258;V257;card1;TransactionAmt
zz,4,1.0,none,300,0.012573508680824907,0.5956370574942065,0.5614469639363833,0.6290838598453133,3.1622776601683795,249.9565207917257,True,False,4,0.11794443899998441,V258;V257;card1;TransactionAmt
zz,4,0.5,none,300,0.00979478764977757,0.6319958174769942,0.6037675174232499,0.9871576718298161,1.467799267622069,62.28359926778434,False,False,4,0.11176620097830892,V258;V257;card1;TransactionAmt
zz,4,0.25,none,300,0.005497578103723217,0.8726775310737758,0.8661248973259694,0.9874932931844154,1.467799267622069,9.560533436183459,False,False,4,0.11123782995855436,V258;V257;card1;TransactionAmt
zz,4,0.125,none,300,0.003932901357505399,0.9688103970740158,0.9681884279139656,0.9984470797768863,1.467799267622069,1.4151430594739935,False,False,4,0.10963745700428262,V258;V257;card1;TransactionAmt
zz,4,0.0625,none,300,0.00350709936823149,0.9923497898701449,0.9922888383275695,0.9998861645789864,1.467799267622069,1.484702888323899,False,False,4,0.095381161023397,V258;V257;card1;TransactionAmt
zz,4,0.03125,none,300,0.00338443341085266,0.998098591981921,0.9980899701521898,0.9999926039637855,1.467799267622069,1.5924899350581618,False,False,4,0.13469068001722917,V258;V257;card1;TransactionAmt
z,4,1.0,none,300,0.012573508680824907,0.5956370574942065,0.5614469639363833,0.6290838598453133,3.1622776601683795,249.9565207917257,True,False,4,0.11593904002802446,V258;V257;card1;TransactionAmt
z,4,0.5,none,300,0.00979478764977757,0.6319958174769942,0.6037675174232499,0.9871576718298161,1.467799267622069,62.28359926778434,False,False,4,0.11558071803301573,V258;V257;card1;TransactionAmt
z,4,0.25,none,300,0.005497578103723217,0.8726775310737758,0.8661248973259694,0.9874932931844154,1.467799267622069,9.560533436183459,False,False,4,0.14831446699099615,V258;V257;card1;TransactionAmt
z,4,0.125,none,300,0.003932901357505399,0.9688103970740158,0.9681884279139656,0.9984470797768863,1.467799267622069,1.4151430594739935,False,False,4,0.14670499204657972,V258;V257;card1;TransactionAmt
z,4,0.0625,none,300,0.00350709936823149,0.9923497898701449,0.9922888383275695,0.9998861645789864,1.467799267622069,1.484702888323899,False,False,4,0.19890277198283002,V258;V257;card1;TransactionAmt
z,4,0.03125,none,300,0.00338443341085266,0.998098591981921,0.9980899701521898,0.9999926039637855,1.467799267622069,1.5924899350581618,False,False,4,0.16503690503304824,V258;V257;card1;TransactionAmt
dense_angle,2,1.0,linear,300,0.010566453810390779,0.5013679702928465,0.4961008228411721,0.833676465379356,2.154434690031882,122.65741440104424,True,False,4,0.13662890798877925,V258;V257;card1;TransactionAmt
dense_angle,2,0.5,linear,300,0.00740997762318966,0.7180417909537509,0.6985712333340576,0.9737082623568364,1.467799267622069,19.000034402921,False,False,4,0.07821822504047304,V258;V257;card1;TransactionAmt
dense_angle,2,0.25,linear,300,0.00473865571922998,0.908514774605154,0.9060278977741483,0.9493428593070289,3.1622776601683795,2.647216489884922,False,False,4,0.07553594902856275,V258;V257;card1;TransactionAmt
dense_angle,2,0.125,linear,300,0.0037609760677751857,0.9760320250252875,0.9758073097436525,0.9138457418182456,10.0,1.409697378126537,False,False,4,0.08350446703843772,V258;V257;card1;TransactionAmt
dense_angle,2,0.0625,linear,300,0.0034631251234713816,0.9939679873477005,0.9939387678333301,0.8503398631775204,10.0,1.5654055504325535,False,False,4,0.08963898598449305,V258;V257;card1;TransactionAmt
dense_angle,2,0.03125,linear,300,0.0033722070825869094,0.9984914131201867,0.9984858059025619,0.8106523800518239,10.0,1.616952526494865,False,False,4,0.10146154696121812,V258;V257;card1;TransactionAmt
dense_angle,2,1.0,none,300,0.010640967268754431,0.5008873660833798,0.4951393813125624,0.8348984115779191,2.154434690031882,122.98689061171288,True,False,4,0.06879822496557608,V258;V257;card1;TransactionAmt
dense_angle,2,0.5,none,300,0.007440103786060901,0.7178803510541953,0.6986006560561908,0.9727916314622449,1.467799267622069,18.89962642869394,False,False,4,0.07363786501809955,V258;V257;card1;TransactionAmt
dense_angle,2,0.25,none,300,0.004775106263901606,0.9073274798358194,0.904542836805986,0.9586088406157218,2.154434690031882,2.6518519477015476,False,False,4,0.06874649797100574,V258;V257;card1;TransactionAmt
dense_angle,2,0.125,none,300,0.0037781182076264317,0.9753678268374688,0.9750954781099492,0.9311598499159991,6.812920690579608,1.368051873176846,False,False,4,0.06951664300868288,V258;V257;card1;TransactionAmt
